,Instructor,Department,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled
0,"Ben-Yosef, Erez",Anthropology,100.0,3.64,1.0,19.0
1,"D'Alpoim Guedes, Jade A",Anthropology,100.0,3.75,1.0,39.0
2,"Marchetto, Maria Carolina",Anthropology,100.0,3.91,1.0,25.0
3,"Non, Amy L",Anthropology,90.96666666666665,3.28,3.0,91.0
4,"Lew, Caroline Horton",Anthropology,88.1,3.685,2.0,72.0
5,"Goodman, Yehuda Chaim",Anthropology,75.0,3.25,1.0,12.0
6,"Jenkins, Janis A.",Anthropology,100.0,4.0,1.0,11.0
7,"Saravia, Paula F",Anthropology,83.80000000000001,3.7049999999999996,4.0,174.0
8,"Olivas Hernandez, Olga Lid",Anthropology,94.25,3.8625,4.0,176.0
9,"Hauck, Jan",Anthropology,100.0,3.69,1.0,21.0
10,"Kang, Byung Chu",Anthropology,96.11666666666667,3.82,6.0,475.0
11,"Pedersen, David",Anthropology,71.89999999999999,3.6833333333333336,3.0,73.0
12,"Goldstein, Paul S",Anthropology,87.625,3.58,4.0,212.0
13,"Semendeferi, Ekaterini",Anthropology,97.61666666666667,4.0,6.0,67.0
14,"Rothschild, Amy C",Anthropology,87.8,3.79,2.0,236.0
15,"Stewart, Alexander B",other,93.225,3.6725000000000003,4.0,840.0
16,"Rivera-Collazo, Isabel C",Anthropology,100.0,3.49,1.0,66.0
17,"Parish, Steven Martin",Anthropology,94.3,3.94,1.0,110.0
18,"Liss, Brady James",Anthropology,100.0,3.17,1.0,21.0
19,"Berman, Michael David",Anthropology,93.3,3.5,1.0,38.0
20,"Wilder, Linnea Lorene",other,91.39999999999999,3.453333333333333,3.0,99.0
21,"Hrvoj Mihic, Branka",Anthropology,100.0,3.75,1.0,21.0
22,"Kurian, Amrita Achamma",Anthropology,100.0,3.33,1.0,28.0
23,"Kennemore, Amy Michelle",Anthropology,100.0,3.5,1.0,25.0
24,"Braswell, Geoffrey E.",Anthropology,100.0,3.76,2.0,55.0
25,"Levy, Thomas E",Anthropology,88.80000000000001,3.525,2.0,87.0
26,"Strum, Shirley C.",Anthropology,100.0,3.67,1.0,15.0
27,"Gagneux, Pascal",Anthropology,100.0,3.5,2.0,84.0
28,"Minsky-Rowland, Jocelyn D",Anthropology,100.0,3.5,1.0,21.0
29,"Haviland, John B.",Anthropology,65.93333333333334,3.1566666666666667,3.0,61.0
30,"Garth, Hanna Fitzmaurice",Anthropology,100.0,3.74,1.0,46.0
31,"Brenner, Suzanne A",Anthropology,93.23333333333333,3.7466666666666666,3.0,214.0
32,"Bennallack, Kathleen Celia",Anthropology,71.9,3.8,1.0,188.0
33,"Algaze, Guillermo",Anthropology,100.0,3.57,1.0,14.0
34,"Fortier, Jana",Anthropology,100.0,3.2,1.0,12.0
35,"Schoeninger, Margaret J",Anthropology,83.3,4.0,1.0,15.0
36,"Lafleur, Marni M",Anthropology,94.7,3.73,2.0,166.0
37,"Postero, Nancy Grey",Anthropology,100.0,3.77,1.0,33.0
38,"Bialecki, Jon Anthony",Anthropology,91.3,3.57,1.0,52.0
39,"Duzel, Esin",other,90.25,3.605,2.0,217.0
40,"Mc Culloch, Andrew Douglas",Bioengineering,83.03333333333333,3.5066666666666664,3.0,141.0
41,"Valdez-Jasso, Daniela",Bioengineering,69.2,3.62,1.0,47.0
42,"Metallo, Christian Michael",Bioengineering,90.75,3.52,2.0,106.0
43,"Wheeler, Bruce Christopher",Bioengineering,94.04444444444444,3.82388888888889,18.0,890.0
44,"Coleman, Todd Prentice",Bioengineering,93.8,3.19,1.0,32.0
45,"Lal, Ratnesh",other,62.43333333333333,3.4899999999999998,3.0,361.0
46,"Fraley, Stephanie I.",Bioengineering,90.9,3.315,2.0,186.0
47,"Mali, Prashant Gulab Ram",Bioengineering,94.75,3.48,2.0,89.0
48,"Sah, Robert Lie-Yuan",Bioengineering,20.0,3.22,1.0,71.0
49,"Zhong, Sheng",Bioengineering,76.0,3.59,1.0,73.0
50,"Abbasi, Shaghayegh",Bioengineering,66.7,1.67,1.0,16.0
51,"Alexandrov, Ludmil B",Bioengineering,90.1,3.18,1.0,163.0
52,"Huang, Xiaohua",Bioengineering,61.25,3.4749999999999996,2.0,220.0
53,"Hasty, Jeff M",other,90.73333333333333,3.7133333333333334,3.0,188.0
54,"Silva, Gabriel",Bioengineering,72.8,3.4699999999999998,2.0,71.0
55,"Devor, Anna",Bioengineering,100.0,3.64,1.0,30.0
56,"Zhang, Kun",Bioengineering,94.7,3.54,1.0,63.0
57,"Cabrales, Pedro",Bioengineering,95.85,3.565,2.0,94.0
58,"Bafna, Vineet",other,82.5,2.8200000000000003,4.0,51.0
59,"Bansal, Vikas",other,61.13333333333333,3.223333333333333,3.0,34.0
60,"Dequach, Jessica A",Bioengineering,64.5,3.23,1.0,105.0
61,"Chien, Shu",Bioengineering,88.8,3.8,1.0,198.0
62,"Subramaniam, Shankar",Bioengineering,80.0,2.88,1.0,51.0
63,"Wang, Yingxiao",Bioengineering,82.0,3.2649999999999997,2.0,122.0
64,"Palsson, Bernhard O.",Bioengineering,66.7,3.5,1.0,67.0
65,"Sparks, Steven Ray",Bioengineering,33.3,3.11,1.0,29.0
66,"Lewis, Nathan E",Bioengineering,100.0,3.17,1.0,11.0
67,"Pevzner, Pavel Arkadjevich",other,71.7,2.643333333333333,3.0,88.0
68,"Cauwenberghs, Gert",Bioengineering,90.9,3.17,1.0,40.0
69,"Alvarez-Cabanillas, Miguel",Bioengineering,87.5,3.0,1.0,20.0
70,"Huffaker, Alisa",Biology,97.35,3.73,2.0,327.0
71,"Schmelz, Eric Alexander",Biology,85.0,3.52,2.0,59.0
72,"Hampton, Randolph Y.",Biology,96.10000000000001,3.6333333333333333,3.0,820.0
73,"Mohan, Swarna",Biology,90.65714285714284,3.400000000000001,7.0,365.0
74,"Soowal, Lara",Biology,96.3,3.1799999999999997,3.0,98.0
75,"Coleman, Aaron B.",Biology,95.4,3.338,5.0,1120.0
76,"Bozinovic, Goran",Biology,88.27142857142859,3.1457142857142855,7.0,831.0
77,"Hui, Enfu",Biology,100.0,3.66,2.0,73.0
78,"Reuther, Keefe",Biology,96.77499999999999,3.4687500000000004,8.0,1530.0
79,"Kiger, Amy",Biology,71.9,3.09,1.0,39.0
80,"Grossman, Emily N",Biology,93.08333333333333,3.5316666666666663,6.0,1025.0
81,"Zuniga, Elina I",Biology,77.35,3.48,2.0,149.0
82,"Shurin, Jonathan",Biology,88.05,3.17,2.0,176.0
83,"Butler, Shannon Rhey",Biology,98.1,3.69,2.0,76.0
84,"Kohn, Joshua R",Biology,87.9,3.39,1.0,75.0
