Instructor,Course,Term,Enroll,Evals Made,Rcmd Class,Rcmnd Instr,Study Hours/week,avg Grade Expected,Average grade received
"Ben-Yosef, Erez","
ANAR 113 - Natural Resources in Israel (A)
",FA18,19,11,"
100.0 %
","
100.0 %
",4.14,"
B+ (3.64)
","
N/A
"
"D'Alpoim Guedes, Jade A","
ANAR 146 - Feeding the World (A)
",FA18,39,17,"
100.0 %
","
100.0 %
",5.91,"
A- (3.75)
","
B+ (3.54)
"
"Marchetto, Maria Carolina","
ANBI 100 - Special Topic/Biological Anth (A)
",FA18,25,23,"
100.0 %
","
100.0 %
",4.24,"
A- (3.91)
","
A- (3.83)
"
"Non, Amy L","
ANBI 134 - Human Evolutionary Genetics (A)
",FA18,30,16,"
62.5 %
","
93.3 %
",5.5,"
B (3.13)
","
B (3.09)
"
"Non, Amy L","
ANBI 135 - Genetic Anthro Lab Techniques (A)
",FA18,11,7,"
57.1 %
","
85.7 %
",4.5,"
B (3.14)
","
N/A
"
"Lew, Caroline Horton","
ANBI 159 - Biological&Cult Persptv/Intell (A)
",FA18,45,25,"
83.3 %
","
83.3 %
",3.25,"
A- (3.75)
","
B+ (3.44)
"
"Goodman, Yehuda Chaim","
ANSC 100 - Spec Top/Socio-Cultural Anthro (A)
",FA18,12,4,"
75.0 %
","
75.0 %
",3.5,"
B (3.25)
","
N/A
"
"Jenkins, Janis A.","
ANSC 100 - Spec Top/Socio-Cultural Anthro (C)
",FA18,11,5,"
100.0 %
","
100.0 %
",5,"
A (4.00)
","
N/A
"
"Saravia, Paula F","
ANSC 105 - Global Health and Inequality (A)
",FA18,20,17,"
94.1 %
","
88.2 %
",6.03,"
A- (3.88)
","
A- (3.96)
"
"Olivas Hernandez, Olga Lid","
ANSC 106 - GH: Indig Med in Latin America (A)
",FA18,39,14,"
92.9 %
","
92.9 %
",3.07,"
A- (3.86)
","
A- (3.81)
"
"Hauck, Jan","
ANSC 118 - Language and Culture (A)
",FA18,21,13,"
92.3 %
","
100.0 %
",6.35,"
B+ (3.69)
","
A- (3.80)
"
"Kang, Byung Chu","
ANSC 146 - Global Health Persp/HIV (A)
",FA18,40,22,"
90.9 %
","
86.4 %
",4.23,"
A- (3.73)
","
A- (3.74)
"
"Saravia, Paula F","
ANSC 148 - Global Health&Cultrl Diversity (A)
",FA18,88,74,"
54.8 %
","
52.1 %
",4.53,"
B+ (3.40)
","
B+ (3.52)
"
"Pedersen, David","
ANSC 175 - Anthropology of Capitalism (A)
",FA18,33,12,"
58.3 %
","
50.0 %
",3.83,"
B+ (3.50)
","
B+ (3.68)
"
"Goldstein, Paul S","
ANTH 101 - Foundations/Social Complexity (A)
",FA18,137,73,"
81.2 %
","
79.1 %
",4,"
B+ (3.33)
","
B+ (3.35)
"
"Semendeferi, Ekaterini","
ANTH 196A - Honors Studies in Anthropology (A)
",FA18,13,4,"
100.0 %
","
100.0 %
",7,"
A (4.00)
","
N/A
"
"Rothschild, Amy C","
ANTH 21 - Race and Racisms (A)
",FA18,212,96,"
94.7 %
","
97.8 %
",3.01,"
B+ (3.58)
","
B+ (3.54)
"
"Kang, Byung Chu","
ANTH 21 - Race and Racisms (B)
",FA18,314,214,"
94.2 %
","
93.7 %
",3.36,"
A- (3.82)
","
A- (3.73)
"
"Stewart, Alexander B","
ANTH 23 - Debating Multiculturalism (A)
",FA18,407,351,"
87.9 %
","
95.6 %
",3.53,"
B+ (3.58)
","
B+ (3.42)
"
"Rivera-Collazo, Isabel C","
ANTH 3 - Global Archaeology (A)
",FA18,66,47,"
95.7 %
","
100.0 %
",3.14,"
B+ (3.49)
","
B (3.17)
"
